V_exit (V),V_ent (V),Current (A),Current_MA,Current_minus_MA
0.765,0.73,1.644e-12,2.25e-12,-6.057e-13
0.766,0.731,2.658e-12,3.4e-12,-7.421e-13
0.767,0.732,5.136e-12,5.003e-12,1.334e-13
0.768,0.733,6.574e-12,7.582e-12,-1.008e-12
0.769,0.734,9.001e-12,1.271e-11,-3.709e-12
0.77,0.735,1.454e-11,2.226e-11,-7.719e-12
0.771,0.736,2.83e-11,3.667e-11,-8.366e-12
0.772,0.737,5.288e-11,5.226e-11,6.22e-13
0.773,0.738,7.861e-11,6.743e-11,1.118e-11
0.774,0.739,8.696e-11,8.477e-11,2.192e-12
0.775,0.74,9.039e-11,1.086e-10,-1.816e-11
0.776,0.741,1.15e-10,1.418e-10,-2.675e-11
0.777,0.742,1.718e-10,1.812e-10,-9.358e-12
0.778,0.743,2.446e-10,2.198e-10,2.482e-11
0.779,0.744,2.84e-10,2.536e-10,3.044e-11
0.78,0.745,2.835e-10,2.847e-10,-1.24e-12
0.781,0.746,2.839e-10,3.165e-10,-3.258e-11
0.782,0.747,3.277e-10,3.544e-10,-2.668e-11
0.783,0.748,4.033e-10,3.996e-10,3.72e-12
0.784,0.749,4.735e-10,4.454e-10,2.812e-11
0.785,0.75,5.095e-10,4.829e-10,2.664e-11
0.786,0.751,5.129e-10,5.101e-10,2.78e-12
0.787,0.752,5.151e-10,5.329e-10,-1.784e-11
0.788,0.753,5.396e-10,5.566e-10,-1.704e-11
0.789,0.754,5.876e-10,5.836e-10,3.98e-12
0.79,0.755,6.28e-10,6.106e-10,1.738e-11
0.791,0.756,6.478e-10,6.346e-10,1.318e-11
0.792,0.757,6.501e-10,6.524e-10,-2.34e-12
0.793,0.758,6.596e-10,6.665e-10,-6.94e-12
0.794,0.759,6.767e-10,6.799e-10,-3.2e-12
0.795,0.76,6.985e-10,6.95e-10,3.48e-12
0.796,0.761,7.146e-10,7.095e-10,5.14e-12
0.797,0.762,7.257e-10,7.219e-10,3.78e-12
0.798,0.763,7.318e-10,7.318e-10,2e-14
0.799,0.764,7.39e-10,7.402e-10,-1.18e-12
0.8,0.765,7.478e-10,7.484e-10,-6.2e-13
0.801,0.766,7.566e-10,7.565e-10,8e-14
0.802,0.767,7.669e-10,7.639e-10,3.04e-12
0.803,0.768,7.723e-10,7.705e-10,1.76e-12
0.804,0.769,7.757e-10,7.764e-10,-6.8e-13
0.805,0.77,7.812e-10,7.811e-10,1e-13
0.806,0.771,7.858e-10,7.858e-10,-4e-14
0.807,0.772,7.905e-10,7.905e-10,-4e-14
0.808,0.773,7.96e-10,7.947e-10,1.32e-12
0.809,0.774,7.992e-10,7.986e-10,6e-13
0.81,0.775,8.019e-10,8.024e-10,-4.8e-13
0.811,0.776,8.054e-10,8.057e-10,-3e-13
0.812,0.777,8.094e-10,8.088e-10,5.8e-13
0.813,0.778,8.126e-10,8.117e-10,8.6e-13
0.814,0.779,8.148e-10,8.144e-10,3.8e-13
0.815,0.78,8.165e-10,8.167e-10,-2e-13
0.816,0.781,8.188e-10,8.19e-10,-2.2e-13
0.817,0.782,8.208e-10,8.215e-10,-7.2e-13
0.818,0.783,8.242e-10,8.239e-10,2.6e-13
0.819,0.784,8.273e-10,8.252e-10,2.075e-12
0.82,0.785,8.286e-10,8.267e-10,1.9e-12
0.821,0.7859999999999999,0.0,0.0,0.0
0.822,0.7869999999999999,0.0,0.0,0.0
0.823,0.7879999999999999,0.0,0.0,0.0
0.824,0.7889999999999999,0.0,0.0,0.0
0.825,0.7899999999999999,0.0,0.0,0.0
0.826,0.7909999999999999,0.0,0.0,0.0
