spi_rack.module2.dac2.voltage,agilent_left.volt,agilent_right.volt
1.5,1.49973855,1.49996196
1.4848484848484849,1.49973645,1.49996336
1.4696969696969697,1.49973748,1.49996047
1.4545454545454546,1.49973572,1.49996094
1.4393939393939394,1.49973887,1.49996202
1.4242424242424243,1.49973642,1.49996262
1.4090909090909092,1.49973935,1.49996271
1.393939393939394,1.49973753,1.4999623
1.378787878787879,1.49974046,1.4999629
1.3636363636363638,1.49973645,1.49996411
1.3484848484848484,1.49973496,1.49996054
1.3333333333333333,1.499737,1.49996038
1.3181818181818181,1.4997366,1.49996402
1.303030303030303,1.49973789,1.4999606
1.2878787878787878,1.49973602,1.49996159
1.2727272727272727,1.49973622,1.49996349
1.2575757575757576,1.49973668,1.49996054
1.2424242424242424,1.49973819,1.4999634
1.2272727272727273,1.49973824,1.49996131
1.2121212121212122,1.49973673,1.49996376
1.196969696969697,1.49973645,1.49996172
1.1818181818181819,1.49973587,1.49996243
1.1666666666666665,1.49973728,1.49996284
1.1515151515151514,1.4997364,1.49996325
1.1363636363636362,1.49973633,1.49996234
1.121212121212121,1.49973723,1.4999648
1.106060606060606,1.49973787,1.49996299
1.0909090909090908,1.49973612,1.49996013
1.0757575757575757,1.49973759,1.49996221
1.0606060606060606,1.49973741,1.49996284
1.0454545454545454,1.49973423,1.49995901
1.0303030303030303,1.49973665,1.4999609
1.0151515151515151,1.49973784,1.4999634
1.0,1.4997363,1.49996305
0.9848484848484849,1.49973509,1.49996501
0.9696969696969697,1.49973589,1.49996381
0.9545454545454546,1.499734,1.49996271
0.9393939393939393,1.49973562,1.49995836
0.9242424242424242,1.49973577,1.49996103
0.9090909090909091,1.49973673,1.49996105
0.8939393939393939,1.49973552,1.49996305
0.8787878787878788,1.49973867,1.49996286
0.8636363636363636,1.4997368,1.49996088
0.8484848484848485,1.49973566,1.49996234
0.8333333333333333,1.49973703,1.49996256
0.8181818181818181,1.49973779,1.49996196
0.803030303030303,1.49973514,1.49996551
0.7878787878787878,1.4997367,1.49996523
0.7727272727272727,1.49973566,1.49996525
0.7575757575757576,1.49973501,1.49996168
0.7424242424242424,1.49973511,1.49996051
0.7272727272727273,1.49973625,1.49996234
0.7121212121212122,1.49973458,1.49996396
0.6969696969696969,1.49973594,1.4999626
0.6818181818181818,1.49973839,1.49996116
0.6666666666666666,1.49973625,1.49996237
0.6515151515151515,1.49973721,1.49996159
0.6363636363636364,1.49973784,1.49996191
0.6212121212121212,1.49973791,1.49996321
0.6060606060606061,1.49973471,1.49996159
0.5909090909090908,1.499737,1.49996032
0.5757575757575757,1.49973665,1.49996073
0.5606060606060606,1.49973685,1.49996041
0.5454545454545454,1.49973537,1.4999629
0.5303030303030303,1.49973582,1.49996144
0.5151515151515151,1.49973526,1.49996353
0.5,1.49973534,1.49996262
0.48484848484848486,1.49973506,1.4999623
0.4696969696969697,1.49974013,1.49996245
0.4545454545454546,1.49973789,1.49996321
0.43939393939393945,1.49973522,1.49996157
0.4242424242424243,1.49973617,1.49996224
0.40909090909090917,1.49973542,1.49996006
0.3939393939393938,1.49973816,1.49996131
0.3787878787878787,1.49973827,1.49996135
0.36363636363636354,1.49973367,1.49996473
0.3484848484848484,1.49973824,1.49996508
0.33333333333333326,1.49973791,1.49996213
0.3181818181818181,1.4997365,1.49996398
0.303030303030303,1.49973824,1.49996054
0.28787878787878785,1.49973625,1.49996355
0.2727272727272727,1.49973736,1.49996426
0.25757575757575757,1.49973784,1.49996109
0.24242424242424243,1.49973597,1.49996206
0.2272727272727273,1.49973597,1.49996168
0.21212121212121215,1.49973791,1.49996327
0.19696969696969702,1.49973776,1.49996129
0.18181818181818188,1.49973438,1.49996198
0.16666666666666652,1.49973625,1.49996215
0.15151515151515138,1.49973834,1.49996413
0.13636363636363624,1.49973622,1.49996163
0.1212121212121211,1.49973625,1.49996465
0.10606060606060597,1.49973799,1.49996402
0.09090909090909083,1.49973534,1.49996321
0.07575757575757569,1.49973554,1.49996122
0.06060606060606055,1.49973842,1.49996226
0.045454545454545414,1.49973938,1.49996357
0.030303030303030276,1.49973625,1.49996411
0.015151515151515138,1.49973811,1.49996112
0.0,1.49973895,1.49996383
