spi_rack.module2.dac9.voltage,spi_rack.module2.dac5.voltage,agilent_left.volt,agilent_right.volt
1.2,1.2,0.000597540025,-0.00016465824
1.2,1.1918367346938774,0.000595995778,-0.000166196143
1.2,1.183673469387755,0.000596999337,-0.000166546428
1.2,1.1755102040816325,0.000596750174,-0.000166791222
1.2,1.1673469387755102,0.000598117608,-0.000165155118
1.2,1.1591836734693877,0.00059630551,-0.000166128226
1.2,1.1510204081632653,0.00059670724,-0.000166346142
1.2,1.1428571428571428,0.000596460182,-0.000166172702
1.2,1.1346938775510205,0.000595759264,-0.000165762881
1.2,1.126530612244898,0.000595925053,-0.00016532403
1.2,1.1183673469387754,0.000595332522,-0.00016596381
1.2,1.110204081632653,0.00059719541,-0.000167431001
1.2,1.1020408163265305,0.000596780551,-0.000167218448
1.2,1.0938775510204082,0.000597508208,-0.000167060711
1.2,1.0857142857142856,0.000597366665,-0.000166736631
1.2,1.0775510204081633,0.00059709862,-0.000167518894
1.2,1.0693877551020408,0.000597062491,-0.000166830335
1.2,1.0612244897959184,0.000596536946,-0.000166535253
1.2,1.0530612244897959,0.000596517012,-0.000166131019
1.2,1.0448979591836736,0.000595556673,-0.000167517609
1.2,1.036734693877551,0.000597093348,-0.000167859094
1.2,1.0285714285714285,0.000598165333,-0.000167597344
1.2,1.0204081632653061,0.000598714645,-0.000168266571
1.2,1.0122448979591836,0.000597308589,-0.00016870327
1.2,1.0040816326530613,0.000597444001,-0.000168302666
1.2,0.9959183673469387,0.000597468533,-0.000166782198
1.2,0.9877551020408163,0.000596469,-0.00016669816
1.2,0.9795918367346939,0.000596319692,-0.000167000757
1.2,0.9714285714285714,0.000595811302,-0.000166845813
1.2,0.963265306122449,0.000594512673,-0.000167997499
1.2,0.9551020408163265,0.000593752913,-0.000166833996
1.2,0.9469387755102041,0.000594495998,-0.00016742005
1.2,0.9387755102040816,0.000593701162,-0.000167057693
1.2,0.9306122448979592,0.000594224122,-0.00016744754
1.2,0.9224489795918367,0.000592946673,-0.000167155058
1.2,0.9142857142857143,0.000592579059,-0.00016760701
1.2,0.9061224489795918,0.00059313115,-0.000166305101
1.2,0.8979591836734694,0.000594118034,-0.000166863861
1.2,0.889795918367347,0.000593581372,-0.000167707587
1.2,0.8816326530612244,0.000593742849,-0.000166725231
