GATE,PCB,MM,DAC,IDC,MIN,MAX
S,16,15,1,-,-,-
ST_TOP,17,14,2,-,0,1500
LB,18,13,3,-,0,1500
RB,19,12,4,-,0,1500
ST_BOT,20,11,2,-,0,1500
D,21,10,-,1,-,-
C,22,9,6,-,0,1
O,23,8,-,2,-,-
